id,trigger,conditions,script,text,options,notes
anarchistStationFleetOpenDefault,BeginFleetEncounter,"$isStation
$faction.id == junk_pirates_technicians
!$printedDesc",$printedDesc = true 0,"The Anarchist settlement fills the tactical display like a welded-together organ, ugly with armor, antennae, and habitation blisters. A cloud of life signs moves across the outer hull.

The image tightens on figures working in vacuum without visible suits. Some are human. Some are close enough for the distinction to feel worse. Cybernetics flare on the scan as fighter craft begin to spill from recessed bays.

This station is awake, well defended, and unlikely to negotiate.",,
anarchistStationFleetOpenDamaged,BeginFleetEncounter,"$isStation
$damagedStation
$faction.id == junk_pirates_hounds
!$printedDesc",$printedDesc = true 0,"The damaged Anarchist settlement fills the tactical display, its hull patched with scorched plates and improvised braces. A small cloud of life signs still moves across the exterior.

The image tightens on figures working in vacuum without visible suits. Some are human. Some are close enough. Fighter engines spark inside the superstructure as the defenders prepare what remains of the station.

It is wounded, not helpless.",,
junkpiratesSpineretteOpenDialog,OpenInteractionDialog,$customType == junk_pirates_spinerette_active score:1000,"JunkPiratesLostTechSalvageGen
ShowDefaultVisual
FireBest SalvageCheckHostile","Your $shipOrFleet approaches the Automata Cloud.

Sensors resolve thousands of discrete energy signatures arranged in a loose, branching structure rooted planetside. The densest returns sit fixed in geostationary orbit, pulsing with the regularity of industry and the patience of something that has never needed to explain itself.",,
junkpiratesSpineretteDefenders,TriggerAutomatedDefenses,$customType == junk_pirates_spinerette_active score:1000,JunkPiratesLostTechDefenderInteraction,"As your $shipOrFleet moves closer, the glow from below brings a mechanical ballet into focus: drones, tendrils, and fabrication rigs moving through a planetary-scale exercise in mining, construction, or repair.

Then the motion changes. Not stopping, exactly. Not panicking. Reorienting.

The cloud has noticed you.",,
,,,,,,
#ASP Courier Flavour Text,,,,,,
greetingAspItemsFriendly,OpenCommLink,"$aspCourierFleetITEMS score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Hi, friend. Can this wait? We're on the clock here.""",,
greetingAspItemsNeutral,OpenCommLink,"$aspCourierFleetITEMS score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""I'm sorry but we can't be kept long, we're on important Syndicate Business.""",,
greetingAspItemsHostile,OpenCommLink,"$aspCourierFleetITEMS score:1000
$faction.hostileToPlayer",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,,
greetingAspMoneyFriendly,OpenCommLink,"$aspCourierFleetMONEY score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Hi, friend. Can this wait? We're on the clock here.""",,
greetingAspMoneyNeutral,OpenCommLink,"$aspCourierFleetMONEY score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""I'm sorry but we can't be kept long, we're on important Syndicate Business.""",,
greetingAspMoneyHostile,OpenCommLink,"$aspCourierFleetMONEY score:1000
$faction.hostileToPlayer",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,,
greetingAspVIPFriendly,OpenCommLink,"$aspCourierFleetVIP score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Hi, friend. Can this wait? We're on the clock here.""",,
greetingAspVIPNeutral,OpenCommLink,"$aspCourierFleetVIP score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""I'm sorry but we can't be kept long, we're on important Syndicate Business.""",,
greetingAspVIPHostile,OpenCommLink,"$aspCourierFleetVIP score:1000
$faction.hostileToPlayer",$ignorePlayerCommRequests = true 1,"$personRank appears over the comms channel: ""We are carrying someone of extreme importance and any interference will be dealt with appropriately. Back off.""",,
greetingAspPrisonerFriendly,OpenCommLink,"$aspCourierFleetPRISONER score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Hi, friend. Can this wait? We're on the clock here.""",,
greetingAspPrisonerNeutral,OpenCommLink,"$aspCourierFleetPRISONER score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""I'm sorry but we can't be kept long, we're on important Syndicate Business.""",,
greetingAspPrisonerHostile,OpenCommLink,"$aspCourierFleetPRISONER
$faction.hostileToPlayer",$ignorePlayerCommRequests = true 1,"$personRank appears over the comms channel: ""We are willing to defend ourselves and are appropriately armed. Any interference will see ramifications.""",,
#ASP Normal Flavour text,,,,,,
greetingAspFriendly,OpenCommLink,"$faction.id == syndicate_asp
$faction.friendlyToPlayer
!$aspCourierFleetITEMS
!$aspCourierFleetVIP
!$aspCourierFleetPRISONER
!$aspCourierFleetMONEY","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Hi, friend. Can this wait? We're on the clock here.""",,
greetingAspHostileWeaker,OpenCommLink,"$faction.id == syndicate_asp
$faction.hostileToPlayer
$relativeStrength < 0
!$aspCourierFleetITEMS
!$aspCourierFleetVIP
!$aspCourierFleetPRISONER
!$aspCourierFleetMONEY",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,,
greetingAspHostileWeakerDefiant,OpenCommLink,"$faction.id == syndicate_asp
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding
!$aspCourierFleetITEMS
!$aspCourierFleetVIP
!$aspCourierFleetPRISONER
!$aspCourierFleetMONEY",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,,
greetingAspHostileStronger,OpenCommLink,"$faction.id == syndicate_asp
$faction.hostileToPlayer
$relativeStrength >= 0
!$aspCourierFleetITEMS
!$aspCourierFleetVIP
!$aspCourierFleetPRISONER
!$aspCourierFleetMONEY",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,,
greetingAspNeutral,OpenCommLink,"$faction.id == syndicate_asp
$faction.neutralToPlayer
!$aspCourierFleetITEMS
!$aspCourierFleetVIP
!$aspCourierFleetPRISONER
!$aspCourierFleetMONEY","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Associated Starline Parcels. We are on contract and behind schedule. State your business.""",,
#PACK Normal Flavour text,,,,,,
greetingPackFriendly,OpenCommLink,"$faction.id == pack
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Signal received. Good to hear a friendly voice out here.""",,
greetingPackHostileWeaker,OpenCommLink,"$faction.id == pack
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,,
greetingPackHostileWeakerDefiant,OpenCommLink,"$faction.id == pack
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,,
greetingPackHostileStronger,OpenCommLink,"$faction.id == pack
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,,
greetingPackNeutral,OpenCommLink,"$faction.id == pack
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Can we help you?""",,
#JP Explorer Flavour Text,,,,,,
greetingJUNKExplorerNeutral,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Dream of the Tangerine? So do we all, but best not to spend too long on one.""
OR
""Why don't the hab tubes break, you may ask? It is purely the force of our will. Our nature. We bind the planet, stitched up by our souls.""
OR
""If man seeks perfection, he is seeking failure. For the man who achieves perfection has failed.""
OR
""There are millions of people floating around this little sector of ours. All of them are people, not all of them are leaders.""
OR
""Sometimes, $playerName, it just rains, you know?""",,
greetingJUNKExplorerHostileStronger,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""Remember, please, do not seek perfection. In fact, seek the opposite. Seek the purest kind of chaos, because then anything can happen.""
OR
""Perfection is death, $playerName. See you around, maybe not in this life.""
OR
""The conclusion of it all, really, is nothing. It's not true to say 'nothing is PERFECT', more accurately 'perfect IS nothing'. You are perfect, $playerName.""
OR
""I would make the sincere recommendation that the best you can do is enjoy it.""
OR
""We fight, not because we are angry. We fight, not because we are right. We fight, because YOU are wrong.""
OR
""When you strive to make the little man your friend; you make him weaker. When you strive to make the big man your friend; he will take your world.""",,
greetingJUNKExplorerHostileWeakerDefiant,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""Remember, please, do not seek perfection. In fact, seek the opposite. Seek the purest kind of chaos, because then anything can happen.""
OR
""Perfection is death, $playerName.""
OR
""The conclusion of it all, really, is nothing. It's not true to say 'nothing is PERFECT', more accurately 'perfect IS nothing'. You are perfect, $playerName.""
OR
""I would make the sincere recommendation that the best we can do is enjoy it.""
OR
""We fight, not because we are angry. We fight, not because we are right. We fight, because YOU are wrong.""
OR
""When you strive to make the little man your friend; you make him weaker. When you strive to make the big man your friend; he will take your world.""",,
greetingJUNKExplorerHostileWeaker,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Remember, please, do not seek perfection. In fact, seek the opposite. Seek the purest kind of chaos, because then anything can happen.""
OR
""Perfection is death, $playerName.""
OR
""The conclusion of it all, really, is nothing. It's not true to say 'nothing is PERFECT', more accurately 'perfect IS nothing'.""
OR
""I would make the sincere recommendation that the best we can do is enjoy it.""
OR
""When you strive to make the little man your friend; you make him weaker. When you strive to make the big man your friend; he will take your world.""",,
greetingJUNKExplorerFriendly,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""My advice to you, $playerName, is that happiness is just the way your brain takes on certain chemicals. Sometimes you can ... encourage ... those chemicals by having a near-death experience in a starship.""
OR
""If it doesn't look right, it doesn't mean it isn't right. If people choose to rewrite what is 'right', that is not your problem.""
OR
""If you're the only one carrying an opinion in a room of a hundred people, it probably means you are the one who has got it right.""
OR
""Who is the King? Who are you? He has chosen to walk round with a big target on his back and the weight of our great lands around his shoulders. Who do you think is really holding the power?""
OR
""If you want to make waves, $playerName - don't try and control the water - just rearrange the sea bed.""
OR
""Its cold outside, theres no kind of atmosphere. Do you think we are all alone, $playerName? More or less.""
OR
""You know who made these tubes? The tubes that hold tight as the Glorious plates shift around us and huge rifts of ammonia ice drift right into us? It was us. We made them, with the force of our spirit alone.""",,
,,,,,,
# JUNK fleet greeting lines,,,,,,
greetingJUNKFriendly,OpenCommLink,"$faction.id == junk_pirates
$faction.friendlyToPlayer
!$entity.junkPirateExplorers","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Hello, Friend. Her red light warms both of us, tonight.""",,
greetingJUNKHostileWeaker,OpenCommLink,"$faction.id == junk_pirates
$faction.hostileToPlayer
$relativeStrength < 0
!$entity.junkPirateExplorers",$ignorePlayerCommRequests = true 1,"""Know this - my friends don't forget easily.""",cutCommLink:Cut the comm link,
greetingJUNKHostileWeakerDefiant,OpenCommLink,"$faction.id == junk_pirates
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding
!$entity.junkPirateExplorers",$ignorePlayerCommRequests = true 1,"$personRank laughs over the comm link. ""Wish me luck $playerName.""",cutCommLink:Cut the comm link,
greetingJUNKHostileStronger,OpenCommLink,"$faction.id == junk_pirates
$faction.hostileToPlayer
$relativeStrength >= 0
!$entity.junkPirateExplorers",$ignorePlayerCommRequests = true 1,"""This will be fun.""",cutCommLink:Cut the comm link,
greetingJUNKNeutral,OpenCommLink,"!$entity.junkPirateExplorers
$faction.id == junk_pirates
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You are close enough to be interesting and not close enough to be trusted. Speak.""",,
